,2000,2002,2003,2004,2005,2006,2008,2009,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Alabama,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46
Alaska,2.00,2.00,2.00,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08
Arizona,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46
Arkansas,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.16,2.16,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47
California,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66
Colorado,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47
Connecticut,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01
Delaware,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47
District of Columbia,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24
Florida,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45
Georgia,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54
Hawaii,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13
Idaho,1.50,1.50,1.50,1.50,1.50,1.33,1.33,1.33,1.33,1.33,1.33,1.46,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47
Illinois,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,3.18
Indiana,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.63,1.63,1.65,1.65,1.65,1.65,1.65,1.63,1.63,1.63
Iowa,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72
Kansas,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.49,1.54,1.54
Kentucky,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64
Louisiana,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17
Maine,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62
Maryland,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22
Massachusetts,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55
Michigan,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.65,1.65,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17
Minnesota,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.80,2.80,2.80,2.80,2.80,2.80,2.80,2.80,2.80,2.80
Mississippi,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48
Missouri,3.00,3.00,3.00,3.00,3.00,3.00,1.50,1.50,1.50,1.50,1.50,1.55,1.53,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55
Montana,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48
